method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
cartridge,hotpot_qa,main_cart_hotpot_qa,overall,672,0.217,0.211,0.264,0.307,105,794
cartridge,hotpot_qa,main_cart_hotpot_qa,in_task,96,0.118,0.116,0.201,0.236,102,729
cartridge,hotpot_qa,main_cart_hotpot_qa,cross_task_in_domain,192,0.156,0.164,0.292,0.318,97,612
cartridge,hotpot_qa,main_cart_hotpot_qa,cross_task_cross_domain,384,0.273,0.257,0.266,0.32,109,902
cartridge,ms_marco,main_cart_ms_marco,overall,672,0.218,0.21,0.263,0.304,105,794
cartridge,ms_marco,main_cart_ms_marco,in_task,96,0.207,0.202,0.273,0.299,90,386
cartridge,ms_marco,main_cart_ms_marco,cross_task_cross_domain,576,0.219,0.211,0.261,0.305,108,862
cartridge,musr_mm,main_cart_musr_mm,overall,672,0.217,0.199,0.264,0.295,105,794
cartridge,musr_mm,main_cart_musr_mm,in_task,96,0.5,0.469,0.531,0.573,104,1057
cartridge,musr_mm,main_cart_musr_mm,cross_task_cross_domain,576,0.17,0.154,0.22,0.248,105,751
cartridge,narrativeqa,main_cart_narrativeqa,overall,672,0.217,0.207,0.264,0.312,105,794
cartridge,narrativeqa,main_cart_narrativeqa,in_task,96,0.126,0.134,0.116,0.157,92,1052
cartridge,narrativeqa,main_cart_narrativeqa,cross_task_in_domain,96,0.26,0.229,0.146,0.26,152,1112
cartridge,narrativeqa,main_cart_narrativeqa,cross_task_cross_domain,480,0.227,0.217,0.317,0.354,98,679
cartridge,quality,main_cart_quality,overall,672,0.217,0.207,0.264,0.305,105,794
cartridge,quality,main_cart_quality,in_task,96,0.26,0.198,0.146,0.219,152,1112
cartridge,quality,main_cart_quality,cross_task_in_domain,96,0.126,0.123,0.116,0.152,92,1052
cartridge,quality,main_cart_quality,cross_task_cross_domain,480,0.227,0.225,0.317,0.353,98,679
cartridge,trivia_qa,main_cart_trivia_qa,overall,672,0.217,0.205,0.264,0.299,105,794
cartridge,trivia_qa,main_cart_trivia_qa,in_task,96,0.177,0.205,0.218,0.254,102,1017
cartridge,trivia_qa,main_cart_trivia_qa,cross_task_in_domain,192,0.126,0.125,0.284,0.307,98,468
cartridge,trivia_qa,main_cart_trivia_qa,cross_task_cross_domain,384,0.273,0.245,0.266,0.306,109,902
gcm,hotpot_qa,main_gcm_hotpot_qa,overall,672,0.217,0.208,0.264,0.323,105,794
gcm,hotpot_qa,main_gcm_hotpot_qa,in_task,96,0.118,0.134,0.201,0.249,102,729
gcm,hotpot_qa,main_gcm_hotpot_qa,cross_task_in_domain,192,0.156,0.182,0.292,0.347,97,612
